"content_types","posting_frequency","keywords","trends","main_challenges","seasonality ","monitoring_metrics "
"images","30","rustic_decor,DIY","sustainable_products","low_conversion","end_of_the_year","views,clicks"
"videos","15","gift_ideas,sustainable_products","minimalist_decor","low_conversion","summer","impressions,clicks"
"infographics","5","tutorials,how_to_do","quick_recipes","low_conversion","end_of_the_year","repins,clicks"
"images","20","handmade_jewelry","vintage_fashion","competition","end_of_the_year","views,clicks"
"images","15","DIY","wedding_content","low_conversion","autumn,winter","conversion_rate,traffic"
"infographics ","20","make-up tutorials,natural_beauty","self-care","low_conversion","black_friday,end_of_the_year","clicks,engagement"
"images ","15","modern_decor","minimalist_decor","low_conversion","end_of_the_year","repins,comments,views"
"videos","30","boho_style,minimalist_decor","sustainable_products","low_conversion","end_of_the_year","views,engagement"
"images","20","women_fashion,comfortable_clothes","cleaning_and_organization","low_conversion","spring,summer","views,clicks,conversion_rate"
"videos ","30","healthy_cooking,easy_recipes","minimalist_decor","low_conversion","end_of_the_year","clicks,engagement,saves"
"images","15","vintage_decor","self-care","low_conversion","end_of_the_year","views,clicks"
"images","20","sustainable_handmade,creative_decor","cleaning_and_organization","low_conversion","end_of_the_year","views,clicks"
"videos ","60","cheap_fashion,style_tips","sustainable_products","low_conversion","end_of_the_year","views,engagement"
"images","30","DIY,make-up tutorial","self-care","low_conversion","end_of_the_year","repins,comments"
"images","25","minimalist_decor","quick_recipes","low_conversion","end_of_the_year","views,clicks"
"videos","25","easy_recipes,DIY","sustainable_products","low_conversion","end_of_the_year","repins,clicks"
"infographics ","12","tutorials","sustainable_products","low_conversion","end_of_the_year","views,clicks"
"images","30","sustainable_products","cleaning_and_organization","low_conversion","end_of_the_year","views,clicks"
